name	dates
Jaime Sanín Greiffenstein	Febrero de 1992 a Febrero de 1993
Simón Rodríguez Rodríguez	Febrero de 1992 a Febrero de 1993
Fabio Morón Díaz	Febrero de 1992 a Febrero de 2001
Alejandro Martínez Caballero	Febrero de 1992 a Febrero de 2001
José Gregorio Hernández Galindo	Febrero de 1992 a Marzo de 2001
Eduardo Cifuentes Muñoz	Febrero de 1992 a Febrero de 2000
Ciro Angarita Barón	Febrero de 1992 a Febrero de 1993
Jorge Arango Mejía	Marzo de 1993 a Abril de 1998
Hernando Herrera Vergara	Marzo de 1993 a Enero de 1999
Vladimiro Naranjo Mesa	Marzo de 1993 a Febrero de 2001
Antonio Barrera Carbonell	Marzo de 1993 a Octubre de 2001
Carlos Gaviria Díaz	Marzo de 1993 a Febrero de 2001
Alfredo Beltrán Sierra	Junio de 1998 a Junio de 2006
Álvaro Tafur Galvis 	Julio de 1999 a Julio de 2007
Eduardo Montealegre Lynett	Enero de 2001 a Mayo de 2004
Manuel José Cepeda Espinosa	Febrero de 2001 a Febrero de 2009
Jaime Córdoba Triviño	Marzo de 2001 a Febrero de 2009
Marco Gerardo Monroy Cabra	Marzo de 2001 a Febrero de 2009
Jaime Araujo Rentería	Marzo de 2001 a Enero de 2009
Rodrigo Escobar Gil	Febrero de 2001 a Enero de 2009
Clara Inés Vargas Hernández	Marzo de 2001 a Marzo de 2009
Humberto Antonio Sierra Porto	Septiembre de 2004 a Septiembre de 2012
Nilson Pinilla Pinilla	Junio de 2006 a Junio de 2014
Mauricio González Cuervo	Octubre de 2007 a Octubre de 2015
María Victoria Calle Correa	Febrero de 2009 a Abril de 2017
Jorge Iván Palacio Palacio	Marzo de 2009 a Febrero de 2017
Gabriel Eduardo Mendoza Martelo	Febrero de 2009 a Febrero de 2017
Jorge Ignacio Pretelt Chaljub	Abril de 2009 a Agosto de 2016
Luis Ernesto Vargas Silva	Marzo de 2009 a Febrero de 2017
Luis Guillermo Guerrero Pérez	Septiembre de 2012 a Septiembre de 2020
Alberto Rojas Ríos	Mayo de 2013 a Febrero de 2022
Gloria Stella Ortiz Delgado	Julio de 2014 a Julio de 2022
Juan Carlos Henao Pérez	Febrero de 2009 a Abril de 2012
Natalia Ángel Cabo	Abril de 2022 a Abril de 2030
José Fernando Reyes Cuartas	Septiembre de 2017 a Septiembre de 2025
Cristina Pardo Schlesinger	Mayo de 2017 a Mayo de 2025
Antonio José Lizarazo Ocampo	Febrero de 2017 a Febrero de 2025
Diana Fajardo Rivera	Junio de 2017 a Junio de 2025
Carlos Bernal Pulido	Mayo de 2017 a Julio de 2020
Jorge Enrique Ibáñez Najar	Septiembre de 2020 a Septiembre de 2028
Miguel Polo Rosero	Febrero de 2025 a Febrero de 2033
Vladimir Fernández Andrade	Diciembre de 2023 a Diciembre de 2031
Juan Carlos Cortés González 	Noviembre de 2022 a Noviembre de 2030
Paola Andrea Meneses Mosquera	Enero de 2021 a Enero de 2029
Alejandro Linares Cantillo	Diciembre de 2015 a Diciembre de 2023